,PL battery large storage 2023,PL hydro PSH storage 2023
570,-0.0014979345033075064,-0.001175068172027722
571,-0.0013180986753752821,-0.0010386636923966261
572,-42.65691318587811,-57.882088215722575
573,-43.28841325805296,-291.64064514939525
574,-36.06765745041743,-414.35519255445104
575,-32.365777397365115,-631.7486227375977
576,-28.983826995141833,-549.1934960477456
577,-26.727129120624685,-458.3392724978271
578,-25.490212412015463,-449.46760058719553
579,-24.698385905607598,-445.2960113430252
580,-24.248733682783985,-444.18074276765896
581,-23.96029135245328,-414.25920209948686
582,-24.0605258148333,-426.92838894381816
583,-24.355639375708837,-396.3265101811805
584,-24.926860567900295,-399.4544400561445
585,-25.88079034192891,-438.05513997911095
586,-36.270361827594854,-500.8410796143868
587,-29.74962486326661,-577.5552337794069
588,-32.96077789883491,-567.6414152061554
589,-38.692660587293226,-584.6752444111465
590,-54.57689302691929,-422.1276949122295
591,-0.003969598236861316,-0.003057093118282509
592,0.000124286220934133,0.00017873243574226862
593,91.85305171523552,334.9314082372647
594,76.04505428017806,850.0583805295153
595,67.12375035422481,334.60825098224655
596,61.66614500947302,273.4054469886847
597,58.90448941748144,231.79813598137403
598,64.93896320874386,205.0622111153094
599,72.73947907681976,172.4182721139548
600,-6.340837292924726,8.758381549335068e-05
601,-140.00097591445842,1.9246536840488437e-05
602,-140.00097559563662,1.916705410200303e-05
603,-96.75472179643707,8.399118300051017e-05
604,-23.41601196591666,8.548212096279355e-05
605,12.104988271906713,13.65086318144086
606,40.2629946905983,156.0172973701618
607,34.69931878526419,177.25204687601965
608,30.927212147601413,166.41830582356158
609,28.79072038976341,159.79940114172234
610,26.7842584217774,135.19779962531015
611,23.69939075098869,89.53661769748757
612,23.992744838091387,99.83386257551791
613,24.97090096451224,123.81997163374751
614,25.18193794022901,128.00066150164622
615,26.151644421257632,146.21032936691236
616,27.440172586837146,167.00038538435115
617,29.091912556157432,184.71638095416566
618,30.69396306940468,169.60697009914534
619,33.849030168220764,163.71837285626867
620,39.82518574833118,153.598707779511
621,54.77589592572835,119.02451308570244
622,-1.6343364607029907e-05,1.5307498892127114e-05
623,-66.65350133733101,-26.44304746999806
624,-45.0272270703101,-25.865135031119628
625,-95.93330989374638,-159.46602827669858
626,-94.39970045124785,-214.61120597824396
627,-92.78544728378152,-170.4344436272257
628,-98.10376709689261,-200.29748789924164
629,-107.09667281358284,-183.12102777434725
630,-1.1777884514105405e-05,1.798440328719777e-05
631,87.38567901671868,150.54551605482547
632,81.133712564048,152.67463039083694
633,57.52267776839526,128.0145172671578
634,44.713047477090534,79.24016411991748
635,-119.35243423323452,8.200747211093448e-05
636,22.213777864184408,30.998839448462103
637,39.760244833164094,102.32550117005165
638,40.27338935768979,130.91499236223507
639,40.69709074489488,161.05902092654347
640,41.11673036321159,183.9352721744668
