,PL biogas substrate supply 2023,PL biomass wood supply 2023,PL electricity final use 2023,PL hard coal supply 2023,PL hydro ROR 2023,PL lignite supply 2023,PL natural gas supply 2023,PL other fuel supply 2023,PL solar PV ground 2023,PL solar PV roof 2023,PL wind onshore 2023,PL wind onshore old 2023
291,372.24368563588854,2749.7439999985004,13721.4269406,16507.65366782823,276.0,9566.845063753448,3529.923999994352,808.82352941225,-0.0,-0.0,517.235343992542,930.7671848358584
292,412.0719783187119,2863.791999998386,13862.3401826,17180.037667827553,276.0,9190.0145440019,3800.03199999392,808.82352941225,24.860971531223353,22.0191617772,490.1816891525418,880.8925390418582
293,424.36466124550924,2898.9919999983513,15940.8105023,17387.56359375327,276.0,13526.857010704443,3883.3986666604533,808.82352941225,336.0697540793201,384.722762611,374.5346202215423,669.2191019408585
294,412.0719783187119,2863.791999998386,17913.5958904,17180.037667827553,276.0,14122.654827769768,3800.03199999392,808.82352941225,1299.7895959913196,1554.32971268,278.4825198595425,495.2569785718587
295,399.5334417333786,2827.887999998422,18882.3744292,16968.361223383323,276.0,9376.69246375536,3714.997999994056,808.82352941225,2372.747432841319,2928.01557901,442.69349132954125,793.6752791528576
296,387.24075880658137,2792.6879999984576,19058.5159817,16760.835297457605,276.0,5747.687788891914,3631.631333327523,808.82352941225,3072.10916210939,3899.81903108,517.2353438538911,930.7671846950352
297,374.70222222124806,1819.283999998493,18988.0593607,16549.15885301337,276.0,5561.17424241975,3546.5973333276593,808.82352941225,3487.2500025971603,4527.93972778,507.09725080461544,912.0611061324796
298,362.4095392944507,1784.0839999985285,19234.6575342,16341.632927087652,276.0,5561.17424241975,3463.2306666611257,808.82352941225,3794.712777107159,4974.35181124,429.09170159761504,768.7708755494791
299,355.0339295383724,1762.9639999985498,19340.3424658,16217.11737153222,276.0,5561.17424241975,3413.210666661206,808.82352941225,3923.047235827159,5195.4610341,357.4363380696153,638.1307757674793
300,347.6583197822939,1741.8439999985708,19287.5,16092.60181597679,276.0,5561.17424241975,3363.190666661286,808.82352941225,3955.15152782716,5213.2145654,323.1694975126155,575.9849861874796
301,342.74124661157504,1727.7639999985847,18952.8310502,16009.591445606502,276.0,5561.17424241975,3329.8439999946727,808.82352941225,3749.8269806771614,4859.9677556,340.3146306036163,607.0527372884804
